null_pnl_cents,null_roi
19.0,0.016088060965283656
-227.0,-0.20141969831410825
-405.0,-0.3360995850622407
32.0,0.0299625468164794
-553.0,-0.4087213599408721
4.0,0.0028653295128939827
-238.0,-0.20913884007029876
-288.0,-0.24242424242424243
-88.0,-0.07407407407407407
41.0,0.03016924208977189
-330.0,-0.2682926829268293
-319.0,-0.2616899097621001
-156.0,-0.13494809688581316
-387.0,-0.3560257589696412
-331.0,-0.2926613616268789
76.0,0.06761565836298933
-254.0,-0.22010398613518198
136.0,0.09970674486803519
-213.0,-0.1755976916735367
-182.0,-0.16820702402957485
-279.0,-0.25857275254865614
-224.0,-0.24242424242424243
3.0,0.003009027081243731
83.0,0.06820049301561217
-83.0,-0.0844354018311292
-222.0,-0.16792738275340394
-79.0,-0.0732159406858202
47.0,0.0446343779677113
9.0,0.008249312557286892
-257.0,-0.24314096499526963
-203.0,-0.1840435176790571
-17.0,-0.018538713195201745
-230.0,-0.17293233082706766
-153.0,-0.1326973113616652
-295.0,-0.2964824120603015
-217.0,-0.16476841305998483
-421.0,-0.41234084231145934
-234.0,-0.20634920634920634
-48.0,-0.04580152671755725
-317.0,-0.26047658175842237
-120.0,-0.10714285714285714
-111.0,-0.0916597853014038
15.0,0.013824884792626729
-368.0,-0.3150684931506849
-15.0,-0.013452914798206279
-280.0,-0.23728813559322035
49.0,0.04257167680278019
-78.0,-0.06621392190152801
-376.0,-0.3197278911564626
-50.0,-0.04
-270.0,-0.2523364485981308
-131.0,-0.1270611057225994
-149.0,-0.14204003813155386
-223.0,-0.19857524487978628
-164.0,-0.140893470790378
-350.0,-0.30434782608695654
78.0,0.06951871657754011
-45.0,-0.0430622009569378
-73.0,-0.05316824471959213
113.0,0.09519797809604044
-159.0,-0.12629070691024621
-184.0,-0.16974169741697417
-380.0,-0.35185185185185186
-473.0,-0.4032395566922421
-209.0,-0.2299229922992299
-345.0,-0.27710843373493976
-232.0,-0.2049469964664311
-126.0,-0.12280701754385964
67.0,0.05026256564141035
-421.0,-0.37555753791257807
-417.0,-0.37332139659803043
-162.0,-0.1683991683991684
-37.0,-0.032541776605101144
-267.0,-0.2761116856256463
-186.0,-0.1341991341991342
-352.0,-0.3055555555555556
-423.0,-0.37666963490650046
-82.0,-0.07578558225508318
160.0,0.14035087719298245
-166.0,-0.17184265010351968
-398.0,-0.44320712694877507
-274.0,-0.25512104283054005
-319.0,-0.28507596067917784
-175.0,-0.16279069767441862
-41.0,-0.03593339176161262
-184.0,-0.1554054054054054
-111.0,-0.08466819221967964
-269.0,-0.23011120615911035
-272.0,-0.23208191126279865
-297.0,-0.2978936810431294
-213.0,-0.1755976916735367
-61.0,-0.057492931196983975
-450.0,-0.36
-26.0,-0.023090586145648313
-185.0,-0.15611814345991562
-161.0,-0.15174363807728558
-106.0,-0.08116385911179173
-10.0,-0.009009009009009009
-450.0,-0.3333333333333333
-246.0,-0.21465968586387435
-335.0,-0.27125506072874495
-188.0,-0.21171171171171171
-132.0,-0.12790697674418605
-219.0,-0.16603487490523122
-531.0,-0.3989481592787378
-13.0,-0.012833168805528134
-466.0,-0.4371482176360225
-157.0,-0.1156963890935888
-242.0,-0.23224568138195778
-122.0,-0.09983633387888707
-57.0,-0.05392620624408704
-218.0,-0.17898193760262726
-338.0,-0.2730210016155089
-242.0,-0.23224568138195778
-395.0,-0.3969849246231156
82.0,0.08055009823182711
-244.0,-0.2584745762711864
-243.0,-0.19549477071600965
-72.0,-0.05660377358490566
-201.0,-0.16736053288925895
-125.0,-0.09433962264150944
-101.0,-0.08409658617818484
-323.0,-0.31573802541544477
-115.0,-0.11330049261083744
-267.0,-0.22879177377892032
-185.0,-0.14396887159533073
-35.0,-0.030837004405286344
-317.0,-0.31170108161258603
-59.0,-0.05090595340811044
-15.0,-0.01060070671378092
