_month,b_n,b_pnl,b_wins,s_n,s_pnl,s_wins,delta_pnl,delta_n
2024-09,5,-59.0,0,5,-59.0,0,0.0,0
2024-10,2,-13.0,0,2,-13.0,0,0.0,0
2024-11,5,63.0,1,7,45.0,1,-18.0,2
2024-12,6,-46.0,0,6,-46.0,0,0.0,0
2025-01,2,-17.0,0,1,-6.0,0,11.0,-1
2025-02,3,163.0,2,5,150.0,2,-13.0,2
2025-03,5,-44.0,0,3,-18.0,0,26.0,-2
2025-04,1,-12.0,0,1,-12.0,0,0.0,0
2025-05,3,73.0,1,2,78.0,1,5.0,-1
2025-06,5,-33.0,0,5,-33.0,0,0.0,0
2025-08,1,-5.0,0,1,-5.0,0,0.0,0
2025-11,1,93.0,1,1,93.0,1,0.0,0
2025-12,2,-10.0,0,2,-10.0,0,0.0,0
2026-01,1,-20.0,0,1,-20.0,0,0.0,0
2026-03,3,80.0,1,1,95.0,1,15.0,-2
2026-04,3,282.0,3,3,282.0,3,0.0,0
