config,n,wins,losses,wr,pnl,cost,roi,sharpe,prof_mo,n_mo,worst_mo,best_mo
Mode A raw (48 trades),48,9,39,0.188,495.0,405.0,122.222,0.339,6,16,-59.0,282.0
Mode A data-clean,43,9,34,0.209,542.0,358.0,151.397,0.382,6,16,-46.0,282.0
Mode A + Mode C [vol≥500],41,9,32,0.22,557.0,343.0,162.391,0.407,6,15,-46.0,282.0
Mode A + Mode C [vol≥1000],38,9,29,0.237,582.0,318.0,183.019,0.43,6,15,-46.0,282.0
Mode A + Mode C tight [vol≥1000 ∧ spr≤4],31,8,23,0.258,546.0,254.0,214.961,0.437,6,15,-36.0,282.0
Mode B raw (46 trades),46,9,37,0.196,521.0,379.0,137.467,0.366,6,16,-59.0,282.0
Mode B data-clean,41,9,32,0.22,568.0,332.0,171.084,0.41,6,16,-46.0,282.0
Mode B + Mode C [vol≥500],39,9,30,0.231,583.0,317.0,183.912,0.438,6,15,-46.0,282.0
Mode B + Mode C [vol≥1000],36,9,27,0.25,608.0,292.0,208.219,0.463,6,15,-46.0,282.0
Mode B + Mode C tight [vol≥1000 ∧ spr≤4],28,8,20,0.286,582.0,218.0,266.972,0.489,6,14,-36.0,282.0
