feature,n,spearman_vs_yes_won,p_vs_yes_won,spearman_vs_pnl,p_vs_pnl,winner_mean,loser_mean,ks_winner_vs_loser_p
micro_model_minus_market_pp,84,0.462,0.0,0.263,0.0156,37.597,11.205,0.0001
micro_volume_6h_total,94,0.389,0.0001,0.279,0.0064,10063.0,4682.776,0.0004
micro_minutes_since_open,94,0.379,0.0002,0.161,0.1206,1673.333,1631.053,0.0401
micro_open_interest_now,94,0.373,0.0002,0.194,0.0608,11381.889,5304.303,0.0002
micro_volume_now,94,0.371,0.0002,0.396,0.0001,1937.889,1044.882,0.0001
micro_volume_3h_total,94,0.367,0.0003,0.258,0.0122,7136.222,3576.592,0.0001
micro_volume_1h_total,94,0.339,0.0008,0.34,0.0008,3550.222,1951.447,0.0013
micro_spread_6h_avg,94,-0.337,0.0009,-0.476,0.0,3.19,5.889,0.0005
micro_spread_tight_flag,94,0.313,0.0021,0.314,0.0021,0.444,0.132,0.0909
micro_spread_6h_max,94,-0.287,0.0051,-0.486,0.0,6.222,13.671,0.0199
micro_oi_growth_6h,94,0.287,0.005,0.178,0.0862,5574.333,2709.145,0.0016
micro_spread_now_cents,94,-0.254,0.0137,-0.427,0.0,2.889,4.447,0.0807
micro_spread_3h_avg,94,-0.243,0.0185,-0.414,0.0,3.278,4.791,0.0048
micro_spread_3h_max,94,-0.229,0.0263,-0.445,0.0,5.556,7.921,0.07
micro_oi_growth_3h_pct,92,-0.219,0.0362,-0.052,0.623,32.429,86.458,0.0162
micro_oi_growth_1h,92,0.203,0.0519,0.338,0.001,1006.778,627.338,0.0206
micro_spread_1h_avg,94,-0.198,0.0558,-0.432,0.0,3.444,4.664,0.0401
micro_yes_bid_now,94,0.196,0.0583,-0.201,0.052,0.057,0.038,0.2196
micro_spread_1h_max,94,-0.166,0.1108,-0.42,0.0,5.0,6.092,0.07
micro_bid_zero_flag,94,-0.148,0.1534,-0.076,0.4695,0.0,0.105,0.9898
micro_mid_change_1h_pp,79,0.148,0.1917,0.23,0.0411,-3.889,-3.525,0.0575
micro_mid_now,84,0.129,0.2421,-0.276,0.0112,0.077,0.061,0.8809
micro_oi_growth_3h,92,0.126,0.2318,0.116,0.2702,2894.556,1939.189,0.0879
micro_mid_max_6h,83,0.118,0.286,-0.248,0.0238,23.0,17.954,0.7322
micro_mid_std_6h,83,0.079,0.4759,-0.246,0.0247,7.752,5.894,0.6144
micro_mid_skew_in_spread,84,0.072,0.515,0.078,0.4784,1.025,0.539,0.6102
micro_mid_min_6h,83,-0.072,0.5188,-0.372,0.0005,3.444,3.754,0.8234
micro_mid_drawdown_from_peak_6h_pp,83,-0.067,0.5457,0.174,0.1147,-15.333,-12.031,0.1719
micro_time_to_close_minutes,94,-0.062,0.5512,0.144,0.1656,672.333,677.947,0.1017
micro_mid_change_6h_pp,86,-0.055,0.613,0.023,0.8336,-7.333,-6.324,0.3338
micro_mid_change_3h_pp,86,-0.053,0.6279,0.034,0.7553,-6.444,-4.794,0.5809
micro_oi_growth_6h_pct,93,-0.042,0.6923,0.001,0.9957,116.641,310.631,0.2594
micro_oi_growth_1h_pct,92,-0.027,0.7995,0.247,0.0174,11.486,27.589,0.4354
micro_oi_to_volume_ratio,84,-0.024,0.8289,-0.3,0.0056,8.489,22.806,0.8571
micro_yes_ask_now,94,0.021,0.8379,-0.674,0.0,0.086,0.083,0.9228
micro_volume_burst_ratio,94,-0.002,0.9848,0.243,0.0182,2.241,2.666,0.5059
micro_market_drift_confirms_model,84,0.0,1.0,0.096,0.3826,0.333,0.333,1.0
